Address_Index,Input_Z_Sample,Output_Sigmoid,LUT_Value_Q1_7_8
0,-5.00000000,0.00669285,2
1,-4.99022483,0.00675815,2
2,-4.98044966,0.00682408,2
3,-4.97067449,0.00689066,2
4,-4.96089932,0.00695787,2
5,-4.95112414,0.00702574,2
6,-4.94134897,0.00709427,2
7,-4.93157380,0.00716345,2
8,-4.92179863,0.00723331,2
9,-4.91202346,0.00730385,2
10,-4.90224829,0.00737506,2
11,-4.89247312,0.00744697,2
12,-4.88269795,0.00751957,2
13,-4.87292278,0.00759288,2
14,-4.86314761,0.00766689,2
15,-4.85337243,0.00774162,2
16,-4.84359726,0.00781707,2
17,-4.83382209,0.00789326,2
18,-4.82404692,0.00797017,2
19,-4.81427175,0.00804784,2
20,-4.80449658,0.00812625,2
21,-4.79472141,0.00820542,2
22,-4.78494624,0.00828535,2
23,-4.77517107,0.00836606,2
24,-4.76539589,0.00844755,2
25,-4.75562072,0.00852982,2
26,-4.74584555,0.00861289,2
27,-4.73607038,0.00869676,2
28,-4.72629521,0.00878144,2
29,-4.71652004,0.00886693,2
30,-4.70674487,0.00895325,2
31,-4.69696970,0.00904041,2
32,-4.68719453,0.00912840,2
33,-4.67741935,0.00921724,2
34,-4.66764418,0.00930694,2
35,-4.65786901,0.00939751,2
36,-4.64809384,0.00948894,2
37,-4.63831867,0.00958126,2
38,-4.62854350,0.00967447,2
39,-4.61876833,0.00976857,3
40,-4.60899316,0.00986358,3
41,-4.59921799,0.00995951,3
42,-4.58944282,0.01005636,3
43,-4.57966764,0.01015414,3
44,-4.56989247,0.01025286,3
45,-4.56011730,0.01035254,3
46,-4.55034213,0.01045317,3
47,-4.54056696,0.01055477,3
48,-4.53079179,0.01065734,3
49,-4.52101662,0.01076090,3
50,-4.51124145,0.01086546,3
51,-4.50146628,0.01097102,3
52,-4.49169110,0.01107760,3
53,-4.48191593,0.01118520,3
54,-4.47214076,0.01129383,3
55,-4.46236559,0.01140350,3
56,-4.45259042,0.01151423,3
57,-4.44281525,0.01162602,3
58,-4.43304008,0.01173889,3
59,-4.42326491,0.01185283,3
60,-4.41348974,0.01196787,3
61,-4.40371457,0.01208401,3
62,-4.39393939,0.01220126,3
63,-4.38416422,0.01231964,3
64,-4.37438905,0.01243915,3
65,-4.36461388,0.01255981,3
66,-4.35483871,0.01268162,3
67,-4.34506354,0.01280460,3
68,-4.33528837,0.01292875,3
69,-4.32551320,0.01305410,3
70,-4.31573803,0.01318064,3
71,-4.30596285,0.01330839,3
72,-4.29618768,0.01343736,3
73,-4.28641251,0.01356757,3
74,-4.27663734,0.01369902,4
75,-4.26686217,0.01383172,4
76,-4.25708700,0.01396570,4
77,-4.24731183,0.01410095,4
78,-4.23753666,0.01423749,4
79,-4.22776149,0.01437534,4
80,-4.21798631,0.01451450,4
81,-4.20821114,0.01465499,4
82,-4.19843597,0.01479681,4
83,-4.18866080,0.01493999,4
84,-4.17888563,0.01508454,4
85,-4.16911046,0.01523046,4
86,-4.15933529,0.01537777,4
87,-4.14956012,0.01552648,4
88,-4.13978495,0.01567661,4
89,-4.13000978,0.01582816,4
90,-4.12023460,0.01598116,4
91,-4.11045943,0.01613561,4
92,-4.10068426,0.01629153,4
93,-4.09090909,0.01644893,4
94,-4.08113392,0.01660783,4
95,-4.07135875,0.01676823,4
96,-4.06158358,0.01693016,4
97,-4.05180841,0.01709362,4
98,-4.04203324,0.01725864,4
99,-4.03225806,0.01742522,4
100,-4.02248289,0.01759337,5
101,-4.01270772,0.01776313,5
102,-4.00293255,0.01793449,5
103,-3.99315738,0.01810747,5
104,-3.98338221,0.01828209,5
105,-3.97360704,0.01845836,5
106,-3.96383187,0.01863630,5
107,-3.95405670,0.01881592,5
108,-3.94428152,0.01899724,5
109,-3.93450635,0.01918027,5
110,-3.92473118,0.01936503,5
111,-3.91495601,0.01955154,5
112,-3.90518084,0.01973981,5
113,-3.89540567,0.01992985,5
114,-3.88563050,0.02012168,5
115,-3.87585533,0.02031532,5
116,-3.86608016,0.02051079,5
117,-3.85630499,0.02070810,5
118,-3.84652981,0.02090726,5
119,-3.83675464,0.02110830,5
120,-3.82697947,0.02131123,5
121,-3.81720430,0.02151607,6
122,-3.80742913,0.02172283,6
123,-3.79765396,0.02193154,6
124,-3.78787879,0.02214220,6
125,-3.77810362,0.02235485,6
126,-3.76832845,0.02256948,6
127,-3.75855327,0.02278614,6
128,-3.74877810,0.02300482,6
129,-3.73900293,0.02322555,6
130,-3.72922776,0.02344834,6
131,-3.71945259,0.02367323,6
132,-3.70967742,0.02390021,6
133,-3.69990225,0.02412932,6
134,-3.69012708,0.02436057,6
135,-3.68035191,0.02459399,6
136,-3.67057674,0.02482958,6
137,-3.66080156,0.02506737,6
138,-3.65102639,0.02530737,6
139,-3.64125122,0.02554962,7
140,-3.63147605,0.02579412,7
141,-3.62170088,0.02604090,7
142,-3.61192571,0.02628998,7
143,-3.60215054,0.02654137,7
144,-3.59237537,0.02679511,7
145,-3.58260020,0.02705120,7
146,-3.57282502,0.02730967,7
147,-3.56304985,0.02757054,7
148,-3.55327468,0.02783383,7
149,-3.54349951,0.02809956,7
150,-3.53372434,0.02836775,7
151,-3.52394917,0.02863843,7
152,-3.51417400,0.02891162,7
153,-3.50439883,0.02918733,7
154,-3.49462366,0.02946559,8
155,-3.48484848,0.02974643,8
156,-3.47507331,0.03002985,8
157,-3.46529814,0.03031590,8
158,-3.45552297,0.03060458,8
159,-3.44574780,0.03089592,8
160,-3.43597263,0.03118995,8
161,-3.42619746,0.03148669,8
162,-3.41642229,0.03178615,8
163,-3.40664712,0.03208837,8
164,-3.39687195,0.03239337,8
165,-3.38709677,0.03270117,8
166,-3.37732160,0.03301179,8
167,-3.36754643,0.03332526,9
168,-3.35777126,0.03364160,9
