Address_Index,Input_Z_Sample,Output_Tanh,LUT_Value_Q1_7_8
0,-5.00000000,-0.99990920,-256
1,-4.99022483,-0.99990741,-256
2,-4.98044966,-0.99990558,-256
3,-4.97067449,-0.99990372,-256
4,-4.96089932,-0.99990182,-256
5,-4.95112414,-0.99989988,-256
6,-4.94134897,-0.99989790,-256
7,-4.93157380,-0.99989589,-256
8,-4.92179863,-0.99989383,-256
9,-4.91202346,-0.99989174,-256
10,-4.90224829,-0.99988960,-256
11,-4.89247312,-0.99988742,-256
12,-4.88269795,-0.99988520,-256
13,-4.87292278,-0.99988293,-256
14,-4.86314761,-0.99988062,-256
15,-4.85337243,-0.99987826,-256
16,-4.84359726,-0.99987586,-256
17,-4.83382209,-0.99987341,-256
18,-4.82404692,-0.99987091,-256
19,-4.81427175,-0.99986836,-256
20,-4.80449658,-0.99986576,-256
21,-4.79472141,-0.99986311,-256
22,-4.78494624,-0.99986041,-256
23,-4.77517107,-0.99985766,-256
24,-4.76539589,-0.99985485,-256
25,-4.75562072,-0.99985198,-256
26,-4.74584555,-0.99984906,-256
27,-4.73607038,-0.99984608,-256
28,-4.72629521,-0.99984304,-256
29,-4.71652004,-0.99983994,-256
30,-4.70674487,-0.99983678,-256
31,-4.69696970,-0.99983356,-256
32,-4.68719453,-0.99983027,-256
33,-4.67741935,-0.99982692,-256
34,-4.66764418,-0.99982351,-256
35,-4.65786901,-0.99982002,-256
36,-4.64809384,-0.99981647,-256
37,-4.63831867,-0.99981285,-256
38,-4.62854350,-0.99980915,-256
39,-4.61876833,-0.99980538,-256
40,-4.60899316,-0.99980154,-256
41,-4.59921799,-0.99979763,-256
42,-4.58944282,-0.99979363,-256
43,-4.57966764,-0.99978956,-256
44,-4.56989247,-0.99978540,-256
45,-4.56011730,-0.99978117,-256
46,-4.55034213,-0.99977685,-256
47,-4.54056696,-0.99977244,-256
48,-4.53079179,-0.99976795,-256
49,-4.52101662,-0.99976337,-256
50,-4.51124145,-0.99975870,-256
51,-4.50146628,-0.99975393,-256
52,-4.49169110,-0.99974908,-256
53,-4.48191593,-0.99974412,-256
54,-4.47214076,-0.99973907,-256
55,-4.46236559,-0.99973392,-256
56,-4.45259042,-0.99972867,-256
57,-4.44281525,-0.99972331,-256
58,-4.43304008,-0.99971785,-256
59,-4.42326491,-0.99971228,-256
60,-4.41348974,-0.99970660,-256
61,-4.40371457,-0.99970081,-256
62,-4.39393939,-0.99969490,-256
63,-4.38416422,-0.99968888,-256
64,-4.37438905,-0.99968274,-256
65,-4.36461388,-0.99967648,-256
66,-4.35483871,-0.99967009,-256
67,-4.34506354,-0.99966358,-256
68,-4.33528837,-0.99965694,-256
69,-4.32551320,-0.99965017,-256
70,-4.31573803,-0.99964326,-256
71,-4.30596285,-0.99963622,-256
72,-4.29618768,-0.99962904,-256
73,-4.28641251,-0.99962172,-256
74,-4.27663734,-0.99961425,-256
75,-4.26686217,-0.99960664,-256
76,-4.25708700,-0.99959887,-256
77,-4.24731183,-0.99959095,-256
78,-4.23753666,-0.99958288,-256
79,-4.22776149,-0.99957465,-256
80,-4.21798631,-0.99956625,-256
81,-4.20821114,-0.99955769,-256
82,-4.19843597,-0.99954896,-256
83,-4.18866080,-0.99954006,-256
84,-4.17888563,-0.99953098,-256
85,-4.16911046,-0.99952172,-256
86,-4.15933529,-0.99951228,-256
87,-4.14956012,-0.99950265,-256
88,-4.13978495,-0.99949284,-256
89,-4.13000978,-0.99948283,-256
90,-4.12023460,-0.99947262,-256
91,-4.11045943,-0.99946221,-256
92,-4.10068426,-0.99945159,-256
93,-4.09090909,-0.99944077,-256
94,-4.08113392,-0.99942973,-256
95,-4.07135875,-0.99941848,-256
96,-4.06158358,-0.99940700,-256
97,-4.05180841,-0.99939530,-256
98,-4.04203324,-0.99938336,-256
99,-4.03225806,-0.99937119,-256
100,-4.02248289,-0.99935878,-256
101,-4.01270772,-0.99934613,-256
102,-4.00293255,-0.99933322,-256
103,-3.99315738,-0.99932006,-256
104,-3.98338221,-0.99930664,-256
105,-3.97360704,-0.99929296,-256
106,-3.96383187,-0.99927900,-256
107,-3.95405670,-0.99926477,-256
108,-3.94428152,-0.99925027,-256
109,-3.93450635,-0.99923547,-256
110,-3.92473118,-0.99922038,-256
111,-3.91495601,-0.99920500,-256
112,-3.90518084,-0.99918931,-256
113,-3.89540567,-0.99917331,-256
114,-3.88563050,-0.99915699,-256
115,-3.87585533,-0.99914036,-256
116,-3.86608016,-0.99912339,-256
117,-3.85630499,-0.99910609,-256
118,-3.84652981,-0.99908845,-256
119,-3.83675464,-0.99907047,-256
120,-3.82697947,-0.99905212,-256
121,-3.81720430,-0.99903342,-256
122,-3.80742913,-0.99901434,-256
123,-3.79765396,-0.99899490,-256
124,-3.78787879,-0.99897506,-256
125,-3.77810362,-0.99895484,-256
126,-3.76832845,-0.99893421,-256
127,-3.75855327,-0.99891318,-256
128,-3.74877810,-0.99889174,-256
129,-3.73900293,-0.99886987,-256
130,-3.72922776,-0.99884757,-256
131,-3.71945259,-0.99882483,-256
